ticker,data,ano_mes_carteira,beta,indicator_rank,tercile
AMAR3,202207,202207,1.716899160391041,140.0,3
MILS3,202207,202207,1.757203805336177,141.0,3
ANIM3,202207,202207,1.8251463250514397,142.0,3
OIBR3,202207,202207,1.8339238526160504,143.0,3
MEAL3,202207,202207,1.8616747955891215,144.0,3
POSI3,202207,202207,1.8947225693165992,145.0,3
SHOW3,202207,202207,2.0965728388430107,146.0,3
TPIS3,202207,202207,2.2209831053541933,147.0,3
LUPA3,202207,202207,2.282789549870721,148.0,3
ETER3,202207,202207,2.434593733871321,149.0,3
CVCB3,202207,202207,2.549920374143277,150.0,3
CAML3,202208,202208,-0.0644223328421083,1.0,1
WEGE3,202208,202208,0.0643845886382061,2.0,1
FLRY3,202208,202208,0.2398773592458811,3.0,1
BEEF3,202208,202208,0.2507348717188329,4.0,1
TUPY3,202208,202208,0.2851593551509122,5.0,1
VIVT3,202208,202208,0.3055427309556547,6.0,1
JBSS3,202208,202208,0.3551452667562959,7.0,1
SUZB3,202208,202208,0.3634159066253162,8.0,1
MYPK3,202208,202208,0.3791853107497168,9.0,1
MBRF3,202208,202208,0.38719266888758,10.0,1
SRNA3,202208,202208,0.3925550389249505,11.0,1
KLBN11,202208,202208,0.3960499702444869,12.0,1
NEOE3,202208,202208,0.413964061239839,13.0,1
MDIA3,202208,202208,0.4154278266381846,14.0,1
DXCO3,202208,202208,0.4252386598445657,15.0,1
AALR3,202208,202208,0.4386280463488689,16.0,1
AXIA3,202208,202208,0.4451309114533399,17.0,1
LWSA3,202208,202208,0.462587673127408,18.0,1
EGIE3,202208,202208,0.4682793943788661,19.0,1
BRKM5,202208,202208,0.4787937351772064,20.0,1
ROMI3,202208,202208,0.4821715113966738,21.0,1
ENBR3,202208,202208,0.5034682577838444,22.0,1
SLCE3,202208,202208,0.5047636123649805,23.0,1
CPFE3,202208,202208,0.5132203559645304,24.0,1
FESA4,202208,202208,0.5302890674017069,25.0,1
SAUD3,202208,202208,0.538132028165606,26.0,1
RADL3,202208,202208,0.5567155654267006,27.0,1
